# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sub.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             317   N   000004ce   00004e8d   000004d2   ---        --------
             318   N   000004d2   00004e69   000004d4   x29_t4     00000003
             319   N   000004d4   11d19e63   000004d6   x28_t3     0000001a
             320   N   000004d6   00004201   000004da   ---        --------
             321   N   000004da   000040bd   000004dc   x04_tp     00000000
             322   N   000004dc   00000001   000004de   x01_ra     0000000f
             323   N   000004de   00000001   000004e0   ---        --------
             324   N   000004e0   0000412d   000004e2   ---        --------
             325   N   000004e2   402081b3   000004e4   x02_sp     0000000b
             326   N   000004e4   00000205   000004e8   x03_gp     00000004
             327   N   000004e8   00004289   000004ea   x04_tp     00000001
             328   N   000004ea   fe5218e3   000004ec   x05_t0     00000002
             329   N   000004ec   00004e91   000004dc   ---        --------
             332   N   000004dc   00000001   000004de   x01_ra     0000000f
             333   N   000004de   00000001   000004e0   ---        --------
             334   N   000004e0   0000412d   000004e2   ---        --------
             335   N   000004e2   402081b3   000004e4   x02_sp     0000000b
             336   N   000004e4   00000205   000004e8   x03_gp     00000004
             337   N   000004e8   00004289   000004ea   x04_tp     00000002
             338   N   000004ea   fe5218e3   000004ec   x05_t0     00000002
             339   N   000004ec   00004e91   000004f0   ---        --------
             340   N   000004f0   00004e6d   000004f2   x29_t4     00000004
             341   N   000004f2   0fd19f63   000004f4   x28_t3     0000001b
             342   N   000004f4   00004201   000004f8   ---        --------
             343   N   000004f8   0000412d   000004fa   x04_tp     00000000
             344   N   000004fa   000040b5   000004fc   x02_sp     0000000b
             345   N   000004fc   402081b3   000004fe   x01_ra     0000000d
             346   N   000004fe   00000205   00000502   x03_gp     00000002
             347   N   00000502   00004289   00000504   x04_tp     00000001
             348   N   00000504   fe521ae3   00000506   x05_t0     00000002
             349   N   00000506   00004e89   000004fa   ---        --------
             352   N   000004fa   000040b5   000004fc   x02_sp     0000000b
             353   N   000004fc   402081b3   000004fe   x01_ra     0000000d
             354   N   000004fe   00000205   00000502   x03_gp     00000002
             355   N   00000502   00004289   00000504   x04_tp     00000002
             356   N   00000504   fe521ae3   00000506   x05_t0     00000002
             357   N   00000506   00004e89   0000050a   ---        --------
             358   N   0000050a   00004e71   0000050c   x29_t4     00000002
             359   N   0000050c   0fd19263   0000050e   x28_t3     0000001c
             360   N   0000050e   00004201   00000512   ---        --------
             361   N   00000512   0000412d   00000514   x04_tp     00000000
             362   N   00000514   000040b9   00000516   x02_sp     0000000b
             363   N   00000516   00000001   00000518   x01_ra     0000000e
             364   N   00000518   402081b3   0000051a   ---        --------
             365   N   0000051a   00000205   0000051e   x03_gp     00000003
             366   N   0000051e   00004289   00000520   x04_tp     00000001
             367   N   00000520   fe5219e3   00000522   x05_t0     00000002
             368   N   00000522   00004e8d   00000514   ---        --------
             371   N   00000514   000040b9   00000516   x02_sp     0000000b
             372   N   00000516   00000001   00000518   x01_ra     0000000e
             373   N   00000518   402081b3   0000051a   ---        --------
             374   N   0000051a   00000205   0000051e   x03_gp     00000003
             375   N   0000051e   00004289   00000520   x04_tp     00000002
             376   N   00000520   fe5219e3   00000522   x05_t0     00000002
             377   N   00000522   00004e8d   00000526   ---        --------
             378   N   00000526   00004e75   00000528   x29_t4     00000003
             379   N   00000528   0dd19463   0000052a   x28_t3     0000001d
             380   N   0000052a   00004201   0000052e   ---        --------
             381   N   0000052e   0000412d   00000530   x04_tp     00000000
             382   N   00000530   000040bd   00000532   x02_sp     0000000b
             383   N   00000532   00000001   00000534   x01_ra     0000000f
             384   N   00000534   00000001   00000536   ---        --------
             385   N   00000536   402081b3   00000538   ---        --------
             386   N   00000538   00000205   0000053c   x03_gp     00000004
             387   N   0000053c   00004289   0000053e   x04_tp     00000001
             388   N   0000053e   fe5218e3   00000540   x05_t0     00000002
             389   N   00000540   00004e91   00000530   ---        --------
             392   N   00000530   000040bd   00000532   x02_sp     0000000b
             393   N   00000532   00000001   00000534   x01_ra     0000000f
             394   N   00000534   00000001   00000536   ---        --------
             395   N   00000536   402081b3   00000538   ---        --------
             396   N   00000538   00000205   0000053c   x03_gp     00000004
             397   N   0000053c   00004289   0000053e   x04_tp     00000002
             398   N   0000053e   fe5218e3   00000540   x05_t0     00000002
             399   N   00000540   00004e91   00000544   ---        --------
             400   N   00000544   00004e79   00000546   x29_t4     00000004
             401   N   00000546   0bd19563   00000548   x28_t3     0000001e
             402   N   00000548   00004201   0000054c   ---        --------
             403   N   0000054c   0000412d   0000054e   x04_tp     00000000
             404   N   0000054e   00000001   00000550   x02_sp     0000000b
             405   N   00000550   000040b5   00000552   ---        --------
             406   N   00000552   402081b3   00000554   x01_ra     0000000d
             407   N   00000554   00000205   00000558   x03_gp     00000002
